timestamp,success,latency,code,size,fill,annotation
1487015048,1,3.992151ms,200,79,,
1487015049,1,3.79ms,200,79,,
1487015050,1,2.927052ms,200,79,,
1487015051,1,2.729931ms,200,79,,
1487015052,1,3.21735ms,200,79,,
1487015053,1,1.918129ms,200,79,,
1487015054,1,2.099088ms,200,79,,
1487015055,1,2.438145ms,200,79,,
1487015056,1,3.120208ms,200,79,,
1487015057,1,3.885798ms,200,79,,
1487015058,1,3.586ms,200,79,,
1487015059,1,4.768849ms,200,79,,
1487015060,1,3.419792ms,200,79,,
1487015061,1,2.793842ms,200,79,,
1487015062,1,2.444594ms,200,79,,
1487015063,1,2.681338ms,200,79,,
1487015064,1,2.007409ms,200,79,,
1487015065,1,1.823497ms,200,79,,
1487015066,1,2.156346ms,200,79,,
1487015067,1,2.408328ms,200,79,,
1487015068,1,2.922085ms,200,79,,
1487015069,1,2.957398ms,200,79,,
1487015070,1,2.888092ms,200,79,,
1487015071,1,3.25323ms,200,79,,
1487015072,1,2.815564ms,200,79,,
1487015073,1,2.624189ms,200,79,,
1487015074,1,2.62579ms,200,79,,
1487015075,1,2.954944ms,200,79,,
1487015076,1,2.802722ms,200,79,,
1487015077,1,2.560066ms,200,79,,
1487015078,1,2.725858ms,200,79,,
1487015079,1,3.078234ms,200,79,,
1487015080,1,2.088732ms,200,79,,
1487015081,1,2.13623ms,200,79,,
1487015082,1,3.04404ms,200,79,,
1487015083,1,2.229884ms,200,79,,
1487015084,1,2.266708ms,200,79,,
1487015085,1,2.931727ms,200,79,,
1487015086,1,3.02643ms,200,79,,
1487015087,1,2.878505ms,200,79,,
1487015088,1,2.804871ms,200,79,,
1487015089,1,2.709348ms,200,79,,
1487015090,1,2.751487ms,200,79,,
1487015091,1,6.676646ms,200,79,,
1487015092,1,3.332411ms,200,79,,
1487015093,1,2.860448ms,200,79,,
1487015094,1,3.448988ms,200,79,,
1487015095,1,2.534934ms,200,79,,
1487015096,1,2.171532ms,200,79,,
1487015097,1,2.733031ms,200,79,,
1487015098,1,2.859491ms,200,79,,
1487015099,1,3.270119ms,200,79,,
1487015100,1,2.83384ms,200,79,,
1487015101,1,2.662036ms,200,79,,
1487015102,1,2.604744ms,200,79,,
1487015103,1,2.172202ms,200,79,,
1487015104,1,2.110923ms,200,79,,
1487015105,1,2.237726ms,200,79,,
1487015106,1,4.430295ms,200,79,,
1487015107,1,4.510917ms,200,79,,
1487015108,1,2.187839ms,200,79,,
1487015109,1,2.289229ms,200,79,,
1487015110,1,4.852293ms,200,79,,
1487015111,1,4.108096ms,200,79,,
1487015112,1,4.063528ms,200,79,,
1487015113,1,3.415932ms,200,79,,
1487015114,1,2.698135ms,200,79,,
1487015115,1,2.658284ms,200,79,,
1487015116,1,2.82683ms,200,79,,
1487015117,1,2.577825ms,200,79,,
1487015118,1,3.824023ms,200,79,,
1487015119,1,2.89317ms,200,79,,
1487015120,1,4.147759ms,200,79,,
1487015121,1,2.639724ms,200,79,,
1487015122,1,3.524047ms,200,79,,
1487015123,1,4.146723ms,200,79,,
1487015124,1,2.904848ms,200,79,,
1487015125,1,2.555845ms,200,79,,
1487015126,1,7.586059ms,200,79,,
1487015127,1,3.598549ms,200,79,,
1487015128,1,2.412078ms,200,79,,
1487015129,1,3.054601ms,200,79,,
1487015130,1,3.903846ms,200,79,,
1487015131,1,2.854608ms,200,79,,
